4.6,12,14.1,12.9,22.4,24.6,39.3,45.5,52.6,54,61.2,63.1,65.6,74.8,75.8,77.4,83.6,85.2,87.2,86.4,91.6,91.8,94,95.6,94.8,96.4,95.6,95.4,97.4,97.6,98,97.2,98.6,97.6,99,98,98.8,99.8,99.4,99.4,100,99.4,99.8,99.6,99.6,99.4,99.8,99.6,99.4,100
4.6,11.4,14.1,13.3,22.4,23.8,36.4,45.6,49.2,56.4,58.9,65.4,70.1,72.7,75.2,77.4,84.2,83,88.8,86,90.4,93,91.6,95.4,94,93.8,95.4,97.4,96.6,97.8,96.4,99.4,98.4,99,99,98.6,97.6,99.6,99.2,98.6,99.2,97.4,99.6,96.6,99.2,100,100,99.6,99,100
4.6,11.4,14.1,12.5,21.2,29.4,36,45.8,49.5,54.2,55.9,66.5,68.6,74.5,70.5,82.2,84.6,84,86,89.4,89.7,92.2,95,93.8,94.8,97,93.8,96.8,94.2,97.6,97.8,98.4,97,99.4,99,99.6,99.2,99.6,99.2,99.4,99,99.4,99.6,100,99.6,100,99.4,100,99.6,99.8
4.6,12,12.5,13.3,21.2,29,37.8,45.8,49.4,56.2,54.6,64.4,66.9,74.2,76.1,79.8,84.2,86.6,87.6,86.4,92,90.4,93.2,92.8,96.2,96.8,95.2,93.8,95.8,96.4,97.2,98.2,98,98,98.4,99,98.4,98.6,98,99.4,99.4,99.2,99.4,99.6,99.8,99.2,99.2,99.2,99.8,99.6
4.6,12.5,11.8,12.5,22.4,30.2,38.4,46.4,48.8,54.5,58,66,70.3,73.8,76.4,83.8,84.4,81.6,89.2,89.2,89.7,91.6,92.8,94.2,94,95.6,98.6,97.4,97.2,98.4,96.6,96.4,98.4,99.8,99,99,96.8,99.2,99.4,98.4,99.4,99,99,99.8,99.6,100,100,99.8,100,100
4.6,12,12.7,13.3,20.2,26.5,37,44.6,49.9,53.6,61,64,70.3,72.8,76.5,79.1,81.5,87.7,83.4,89.8,90.8,91,95,93.6,91.2,94.8,95.6,96.2,98.6,98.2,97.4,99,98.2,98,98.6,99.2,99.2,99,98.2,99.4,98.8,99.4,99.4,99.2,99.4,99.8,99.6,99.8,99.8,99.6
4.6,11.4,14.5,13.3,21.2,31.8,34.6,44.4,48.7,54.2,62.1,64,68.2,72.3,76.9,81.5,79.2,84.6,88,92,90.8,93.6,93.6,94.2,93,96.6,96.6,96.4,97.8,97.6,97.6,98.4,97.4,98.6,96.8,99.2,99.6,98.2,99.2,99.4,99.6,99,99.8,99.4,98.6,99.6,100,99.2,99.8,100
4.6,12.5,12.7,13.3,21.8,26.6,36.4,42.4,49.3,56.6,62.1,66,66.4,70.2,74.5,84.4,83.4,86.1,85.2,89.4,85.4,92.2,92.2,95,95.8,96.6,96.2,96.2,95,98.6,95.8,98,97.4,98.8,98.8,99.2,99.2,98,99,99,99.6,99.2,99.8,99.6,99.2,99.6,99.2,99.6,99.2,100
4.6,12.5,11.8,13.3,22,26.6,39.3,44.3,49.6,54.5,56.1,61.2,69.5,69.2,77.4,80.8,81.6,88.6,84.6,85.6,92.8,88.1,89.4,92.8,93,96.8,98,97,96.2,97.8,97.6,96.6,98,98,97.4,98,98.2,98.8,97.6,98.2,98.8,99.6,98.6,99.6,98,100,99.8,99.8,98.6,99.8
4.6,11.4,12.7,13.3,21,28.5,38.2,45.5,49.7,50.7,63.1,62.4,71.3,71.6,76,82.5,75.8,85.6,90,89.6,91.8,90.8,93,94.2,94.6,92.6,94.4,96.6,97.2,97.2,98,97.2,99.2,98.6,98.2,95.6,99.4,99.6,98.8,99,99.8,99,99.2,100,99,99,99.4,99.8,99.8,99.2
